split,model,rmse,mae,mape_percent,r2
validation,cnn,1.544393860928738,1.1886852769698986,1.919893429984892,0.9969855824219408
validation,lstm,1.5269282160145747,1.1785052575745785,1.929916654995429,0.9970533773600208
validation,bilstm,1.4536565681799176,1.1390217846310988,1.846121953738528,0.9973293872977785
validation,gru,1.2688861055796485,0.9789210878952448,1.586476871563725,0.9979651492334258
validation,bigru,1.2473073948676323,0.9601024255655392,1.5476606572979636,0.9980337701965786
validation,dffnn,1.409791497230153,1.097665380008703,1.773532740037621,0.9974881306061704
validation,weighted_ensemble,1.3641900622656993,1.0582918791181724,1.7190605147941007,0.9976480014838376
test,cnn,2.560768463934122,1.7550088265158914,2.7496852711826643,0.9844910451262127
test,lstm,2.4156896457575265,1.6707992262406783,2.6573046466998114,0.9861985669712913
test,bilstm,2.330901899421947,1.6715430707064542,2.6596646467800964,0.9871503914285802
test,gru,2.1196474254325026,1.465408034584739,2.2974075828488094,0.9893740158782691
test,bigru,2.077332973610229,1.4308865342573687,2.2275552157358205,0.9897940335533891
test,dffnn,2.423726593012494,1.6735056526877663,2.6646104310029477,0.9861065800672429
test,weighted_ensemble,2.260911395827895,1.5618125429603864,2.461613100176641,0.9879104818265835
